check_id,file,what_it_tests,units_enforced,units_named,agreement
depositor-empty_writes,depositor.py,plan has non-empty writes set (manifest or Deposits block),rule-26,,enforces-more
depositor-class_mismatch,depositor.py,declared manifest class matches the assigned class from path analysis,,,neither
depositor-validation_mismatch,depositor.py,manifest validation field's cycle_check= value matches actual cycle_check verdict,,,neither
depositor-receipt_check,depositor.py,a matching active deposit receipt exists (slug + content_hash),,,neither
depositor-cycle_check_rerun,depositor.py,deposited plan has cycle_check=BAR_MET at deposit time,,,neither
depositor-plan_lint_rerun,depositor.py,deposited plan has no non-benign plan_lint FAIL at deposit time,,,neither
cycle_check-assert1,scripts/cycle_check.py,DC class-split internal arithmetic: instruction+record == total_folds per walk,,,neither
cycle_check-assert2,scripts/cycle_check.py,walk register file referenced in DC block exists on disk,,,neither
cycle_check-assert3,scripts/cycle_check.py,fold_check baseline exists when git context shows folds occurred,dc-2.7-b1,,enforces-more
cycle_check-BAR_MET,scripts/cycle_check.py,"current walk is dry (instruction_count=0), no unparseable lines, asserts OK",,,neither
cycle_check-ESCALATE_yield_rising,scripts/cycle_check.py,yield is rising between walks (unmet bar signal),,,neither
fold_check,scripts/fold_check.py,fold does not change artifact's machine-readable state (plan_lint signals) relative to pre-fold baseline,dc-2.7-b1,,enforces-more
propagation_check-restated,scripts/propagation_check.py,declared numeric values are not restated unqualified in instruction prose,dc-2.7-b8;dc-2.7-b6,,enforces-more
propagation_check-ordering,scripts/propagation_check.py,task sequences expressed with → arrows are consistent (one canonical order),dc-2.7-b9,,enforces-more
propagation_check-arithmetic,scripts/propagation_check.py,expressions over same symbol operands have identical constants,,,neither
walk_register_lint,scripts/walk_register_lint.py,"walk register files conform to schema v0.3: required columns, no duplicate rows, no truncated pre_fold_text",,,neither
hook-align,hooks/eluvian/eluvian_align_hook.py,session-start alignment hook (read-only; not a unit enforcer),,,neither
hook-wrap_arm,hooks/eluvian/wrap_arm_hook.py,arms the wrap-check stop hook for the session,,,neither
hook-wrap_stop,hooks/eluvian/wrap_stop_hook.py,stop hook: runs wrap_check.check(); blocks turn if wrap incomplete,wrap-7;wrap-8,,enforces-more
hook-wrap_debt,hooks/eluvian/wrap_debt_hook.py,session-start debt hook: runs wrap_check.check(caller='debt') and reports leftover wrap debt,wrap-7;wrap-8,,enforces-more
mutation_check,tools/mutation_check.py,sandboxed mutant manifest runner: KILLED=suite caught defect; SURVIVED=suite blind to it; baseline control prevents false confidence,,,neither
check_backlog_freshness,scripts/check_backlog_freshness.py,backlog entries that have been halted match staleness criteria via internal rules 1-4 (not PT rules),,rule-1;rule-2;rule-3;rule-4;rule-22,names-more
verdict-gate_display,verdict.py,gate result display and pause decision; rule_22_verification gate recognized by name,rule-26;rule-22,rule-22;rule-26,named=enforced
RULE_20_SELF_CHECK_BLOCK,RULE_20_SELF_CHECK_BLOCK.md (governance root),canonical Python block that QA agents run and append to QA reports; produces the banner and PASSED line,rule-20,rule-20,named=enforced
